Plot;Harvest;Species;Biomass;Notes
133;A16;Dc;1.318396226;
133;A16;Fr;21.09433962;
133;A16;Pm;2.373113208;
134;A16;Am;22.35326087;
135;A16;Ga;2.400990099;
135;A16;Hl;0.24009901;
135;A16;Lp;8.403465347;
135;A16;Pt;1.920792079;
135;A16;Ra;0.48019802;
135;A16;To;6.722772277;
136;A16;Cb;9.403409091;
136;A16;Dg;0.376136364;
136;A16;Hl;0.376136364;
136;A16;Lp;7.522727273;
136;A16;Pt;1.504545455;
136;A16;To;5.642045455;
137;A16;Am;13.05405405;
137;A16;Dg;1.491891892;
137;A16;Sp;2.797297297;
138;A16;Be;2.711538462;
138;A16;Ga;5.423076923;
138;A16;Pm;3.253846154;
138;A16;To;0.542307692;
139;A16;Cb;11.0425;
139;A16;Dg;3.155;
139;A16;Pt;4.7325;
139;A16;To;6.31;
140;A16;Dg;5.920792079;
140;A16;Ga;7.400990099;
140;A16;Ra;7.400990099;
141;A16;Ao;0.687;
141;A16;Be;0.687;
141;A16;Cj;6.87;
141;A16;Dc;3.435;
141;A16;Fr;10.305;
141;A16;Hp;1.374;
141;A16;Pg;0.3435;
141;A16;Pm;0.3435;
142;A16;Dg;1.794230769;
142;A16;Ga;11.21394231;
142;A16;Ra;17.94230769;
143;A16;Dc;2.807920792;
143;A16;Lp;12.28465347;
143;A16;Pm;3.158910891;
143;A16;To;1.403960396;
144;A16;Cb;22.25728155;
144;A16;Hp;0.890291262;
144;A16;Lp;20.0315534;
144;A16;Pg;0.445145631;
145;A16;Am;34.18632075;
145;A16;Ga;6.311320755;
145;A16;Lp;11.57075472;
145;A16;Sp;0;
146;A16;Ga;39.5675;
147;A16;Ao;0;
147;A16;Cb;9.422018349;
147;A16;Dg;0.144954128;
147;A16;Ga;0.724770642;
147;A16;Hp;0.724770642;
147;A16;Pg;0.289908257;
147;A16;Ra;2.899082569;
147;A16;Sp;0.144954128;
148;A16;Be;2.911764706;
149;A16;Dc;1.696396396;
149;A16;Hp;3.635135135;
149;A16;Pg;2.181081081;
149;A16;Sp;4.846846847;
150;A16;Am;31.49821429;
150;A16;Ao;1.016071429;
150;A16;Be;0.762053571;
150;A16;Cj;12.70089286;
150;A16;Dc;1.016071429;
150;A16;Pg;1.524107143;
150;A16;Pm;0.762053571;
150;A16;Sp;1.016071429;
151;A16;Am;14.07142857;
151;A16;Dc;1.206122449;
151;A16;Lp;16.08163265;
151;A16;To;4.020408163;
152;A16;Fr;22.0173913;
152;A16;Pt;0.825652174;
152;A16;Ra;1.376086957;
152;A16;Sp;4.12826087;
153;A16;Am;19.77934272;
153;A16;Be;0.899061033;
153;A16;Cj;6.473239437;
153;A16;Dc;0.719248826;
153;A16;Hp;2.876995305;
153;A16;Pg;0.53943662;
153;A16;Pm;1.258685446;
153;A16;Sp;0.359624413;
154;A16;Dg;0.393478261;
154;A16;Ga;0.786956522;
154;A16;Hl;2.951086957;
154;A16;Lp;7.869565217;
154;A16;Pt;0.786956522;
154;A16;To;1.967391304;
155;A16;Am;7.304347826;
155;A16;Ao;0.182608696;
155;A16;Be;0.182608696;
155;A16;Dc;0.273913043;
155;A16;Fr;3.652173913;
155;A16;Hp;0.547826087;
155;A16;Pm;0.182608696;
155;A16;Sp;0.182608696;
157;A16;Am;21;
157;A16;Ao;0.35;
157;A16;Fr;8.75;
157;A16;Hp;0.35;
158;A16;Am;3.338461538;
158;A16;Ao;0.333846154;
158;A16;Be;0.667692308;
158;A16;Cb;3.338461538;
158;A16;Cj;3.338461538;
158;A16;Dc;0.333846154;
158;A16;Dg;0.333846154;
158;A16;Fr;0.667692308;
158;A16;Ga;0.667692308;
158;A16;Hl;0.500769231;
158;A16;Hp;1.001538462;
158;A16;Lp;4.006153846;
158;A16;Pg;0.333846154;
158;A16;Pm;0.333846154;
158;A16;Pt;0.333846154;
158;A16;Ra;3.338461538;
158;A16;Sp;0.667692308;
158;A16;To;5.007692308;
159;A16;Dg;1.016326531;
159;A16;Lp;13.55102041;
159;A16;Pt;5.081632653;
160;A16;Am;10.40392157;
160;A16;Cj;9.289215686;
160;A16;Fr;8.174509804;
160;A16;Hp;2.600980392;
161;A16;Cb;8.504854369;
161;A16;Dg;0.850485437;
161;A16;Ga;2.267961165;
161;A16;Hl;1.700970874;
161;A16;Lp;7.087378641;
161;A16;To;5.669902913;
162;A16;Am;13.92792793;
162;A16;Ao;0.348198198;
162;A16;Be;0.348198198;
162;A16;Fr;10.44594595;
162;A16;Hp;0.696396396;
162;A16;Pg;1.044594595;
162;A16;Pm;1.392792793;
162;A16;Sp;1.740990991;
163;A16;Dc;0.2265;
163;A16;Dg;1.359;
163;A16;Ga;4.53;
163;A16;Hl;0.906;
163;A16;Hp;1.812;
163;A16;Lp;10.1925;
163;A16;Pg;0.906;
163;A16;Pm;0.453;
164;A16;Pm;10.32142857;
165;A16;Dg;2.451456311;
165;A16;Hl;0.735436893;
165;A16;Pt;7.354368932;
166;A16;Am;3.305825243;
166;A16;Ao;0;
166;A16;Be;0.661165049;
166;A16;Cb;1.983495146;
166;A16;Cj;4.958737864;
166;A16;Dc;0.991747573;
166;A16;Dg;0.330582524;
166;A16;Fr;3.305825243;
166;A16;Ga;1.652912621;
166;A16;Hl;0.661165049;
166;A16;Hp;0.330582524;
166;A16;Lp;4.958737864;
166;A16;Pg;0.661165049;
166;A16;Pm;0.991747573;
166;A16;Pt;1.652912621;
166;A16;Ra;0;
166;A16;Sp;2.644660194;
166;A16;To;1.983495146;
167;A16;Ra;24.13333333;
168;A16;Ao;2.858181818;
168;A16;Dc;3.334545455;
168;A16;Dg;2.858181818;
168;A16;To;5.24;
169;A16;Dg;14.9175;
170;A16;Am;3.266203704;
170;A16;Ao;0.19212963;
