Block;Plot;Nitrogen;Fungicide;composition;Species_diversity;N;Functional_composition;Sown_sla;Sown_mpd_sla;Notes
4;313;0;0;Ra;1;NA;fast;33.32426724;0;
4;314;1;0;44S;4;4;slow;16.53690177;0.146266735;
4;315;1;1;As;1;NA;fast;18.92764503;0;As monoculture -> excluded
4;316;0;0;47S;4;4;slow;20.77531408;0.148748257;
4;317;0;1;89F;8;6;fast;22.97760119;0.226060706;
4;318;0;0;To;1;NA;fast;21.56190935;0;
4;319;1;0;47M;4;4;mixed;19.98974299;0.267156208;
4;320;1;1;86S;8;8;slow;18.87338246;0.130440942;
4;321;0;1;Dc;1;NA;slow;17.40814705;0;
4;322;0;0;49M;4;4;mixed;21.39443511;0.125665011;
4;323;1;1;83F;8;6;fast;23.04708488;0.267947638;
4;324;0;0;85S;8;8;slow;19.09911541;0.141799455;
4;325;0;1;83M;8;8;mixed;21.99629718;0.287875562;
4;326;1;0;43F;4;3;fast;25.38613119;0.299182563;
4;327;1;0;Cj;1;NA;slow;20.18788567;0;
4;328;0;1;204;20;18;mixed;21.45168042;0.197958713;
4;329;0;0;Hs;1;NA;fast;14.13533866;0;Hs monoculture -> excluded
4;330;1;1;Hp;1;NA;slow;19.13846723;0;
4;331;0;0;43S;4;4;slow;22.04011337;0.10993419;
4;332;1;1;88F;8;6;fast;21.48947191;0.149436401;
4;333;1;1;810M;8;8;mixed;22.31607622;0.139562639;
4;334;0;0;Ga;1;NA;fast;26.54814996;0;
4;335;0;0;Be;1;NA;slow;16.81648496;0;
4;336;1;0;87S;8;8;slow;18.95343909;0.148060097;
