"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","diversity.desirability"
0,1,0,0,0,1,"dry",0,2441.95832048756,0,0,0,3600.73608868887,0.674645873819135
1,1,0,0,0,1,"dry",5357.77775471681,5.98083592120564e-73,0,0,0,3267.30581840922,0.663480731550367
0,0,1,0,0,1,"dry",0,0,720.933983618679,0,0,3494.1090391444,0.457528827117606
1,0,1,0,0,1,"dry",5357.77775471681,0,0,0,0,3267.30581840922,0.663480731550367
0,1,1,0,0,1,"dry",0,2441.95832048756,0,0,0,3600.73608868887,0.674645873819135
1,1,1,0,0,1,"dry",5357.77775471681,6.86570893873693e-73,0,0,0,3267.30581840922,0.663480731550367
0,0,0,1,0,1,"dry",0,0,0,790.526527876695,0,3101.34032038135,0.504701059213818
1,0,0,1,0,1,"dry",4922.35590061265,0,0,278.821257961259,0,3027.14141695288,0.789936966852309
0,1,0,1,0,1,"dry",0,2058.02976968146,0,460.046093961935,0,3167.5274791838,0.897183356297099
1,1,0,1,0,1,"dry",4922.35590061265,1.36115392599664e-71,0,278.821257961258,0,3027.14141695288,0.789936966852309
0,0,1,1,0,1,"dry",0,0,2.09352673274095e-276,790.526527876695,0,3101.34032038135,0.504701059213818
1,0,1,1,0,1,"dry",4922.35590061265,0,0,278.821257961259,0,3027.14141695288,0.789936966852309
0,1,1,1,0,1,"dry",0,2058.02976968146,0,460.046093961935,0,3167.5274791838,0.897183356297099
1,1,1,1,0,1,"dry",4922.35590061265,1.46843031593973e-71,0,278.821257961258,0,3027.14141695288,0.789936966852309
0,0,0,0,1,1,"dry",0,0,0,0,5072.11153581888,4.94771417374722e-269,6.10966810650259e-270
1,0,0,0,1,1,"dry",7.13861300037169e-26,0,0,0,5072.11153581888,5.0389002839438e-269,9.34997086609209e-28
0,1,0,0,1,1,"dry",0,1.31718612843544e-135,0,0,5072.11153581888,8.0578857232274e-269,8.28689747013484e-137
1,1,0,0,1,1,"dry",7.23237949283402e-26,1.63717347311853e-136,0,0,5072.11153581888,7.21692384600955e-269,9.47092303904257e-28
0,0,1,0,1,1,"dry",0,0,0,0,5072.11153581888,5.54275456133143e-269,6.84321067850881e-270
1,0,1,0,1,1,"dry",7.01216860793923e-26,0,0,0,5072.11153581888,5.47251465328903e-269,9.18682799197439e-28
0,1,1,0,1,1,"dry",0,1.44742843229768e-135,0,0,5072.11153581888,8.50535164238985e-269,9.10360844491292e-137
1,1,1,0,1,1,"dry",7.12707742140689e-26,2.05791597918216e-136,0,0,5072.11153581888,7.57245307976759e-269,9.33508911044653e-28
0,0,0,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,2.57083444892439e-269,0.262721656304869
1,0,0,1,1,1,"dry",1.15556818506023e-46,0,0,387.177162777096,4877.09164380973,2.61573153315175e-269,0.262721656304869
0,1,0,1,1,1,"dry",0,3.1397938265703e-157,0,387.177162777096,4877.09164380973,3.71721241598468e-269,0.262721656304869
1,1,0,1,1,1,"dry",1.20443878568174e-46,8.77820489749116e-158,0,387.177162777096,4877.09164380973,3.49716613783643e-269,0.262721656304869
0,0,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,2.73421341845366e-269,0.262721656304869
1,0,1,1,1,1,"dry",1.13081473283004e-46,0,0,387.177162777096,4877.09164380973,2.75811534468447e-269,0.262721656304869
0,1,1,1,1,1,"dry",0,3.36526789710043e-157,0,387.177162777096,4877.09164380973,3.89297715474819e-269,0.262721656304869
1,1,1,1,1,1,"dry",1.18243313496139e-46,9.99463781766105e-158,0,387.177162777096,4877.09164380973,3.64763010411088e-269,0.262721656304869
