"water.initial","Brca.action","Elgl.action","Hobr.action","Stpu.action","Avsp.action","Brho.action","Homu.action","Vusp.action","Brca.mid_state","Elgl.mid_state","Hobr.mid_state","Stpu.mid_state","Avsp.mid_state","Brho.mid_state","Homu.mid_state","Vusp.mid_state","Brca.late_state","Elgl.late_state","Hobr.late_state","Stpu.late_state","Avsp.late_state","Brho.late_state","Homu.late_state","Vusp.late_state","Brca.outcome","Elgl.outcome","Hobr.outcome","Napu.outcome","Avsp.outcome","Brho.outcome","Homu.outcome","Vusp.outcome","total_seeded.desirability","diversity.desirability"
"No",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,7,34,1.37064158500865
"No",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,15,2,2,0,0,0,0,0,19,0.660578887652076
"Yes",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,2,0,0,0,0,0,24,0.860203062804603
"Yes",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,15,5,100,1.062737568157
"Yes",1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,10,10,0,0,0,15,5,2,42,1.44943298019517
"Yes",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,15,5,0,55,0.859967281035505
"Yes",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,17,7,1,0,0,0,0,0,25,0.747435909174486
"No",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,1,0,0,0,0,0,23,0.777140995932613
"No",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,40,30,10,91,1.26203751229374
"No",1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,10,1,1,0,2,15,10,0,39,1.40564499901339
"No",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,13,2,0,40,0.808816163368314
"No",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,20,2,1,0,0,0,0,0,23,0.470235962355249
"Yes",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,3,0,0,0,0,0,28,0.941403052586706
"Yes",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,30,7,92,1.0510751821922
