"plotid","plot.num","blk","enemy","resources","ANVI.outcome","PAAN.outcome","SCIN.outcome","SEPA.outcome","SOPI.outcome","TRFL.outcome","NEWSPS.outcome"
"5SCINPOE","5_18",5,"Sprayed","Ambient",45,18,6,0,15,0,87
"5SCINPOO","5_27",5,"Unsprayed","Ambient",4,3,1,0,0,0,110
"5SCINPRE","5_45",5,"Sprayed","Fertilized",5,2,0,0,2,0,73
"5SCINPRO","5_62",5,"Unsprayed","Fertilized",12,5,0,0,1,0,71
"5SEPAMOE","5_36",5,"Sprayed","Ambient",20,10,0,0,0,0,94.5
"5SEPAMOO","5_44",5,"Unsprayed","Ambient",35,5,2,0,0,0,88
"5SEPAMRE","5_38",5,"Sprayed","Fertilized",30,0,0,0,0,0,71
"5SEPAMRO","5_54",5,"Unsprayed","Fertilized",4,0,0,0,0.1,7,102.5
"5SEPAPOE","5_60",5,"Sprayed","Ambient",45,0,35,0,20,0,28
"5SEPAPOO","5_43",5,"Unsprayed","Ambient",0,4,20,0,2,0,117
"5SEPAPRE","5_35",5,"Sprayed","Fertilized",0,1,30,0,4,0,72
"5SEPAPRO","5_1",5,"Unsprayed","Fertilized",0,0,18,0,0,0,107
"5SOPIMOE","5_33",5,"Sprayed","Ambient",5,3,0,0,22,0,85
"5SOPIMOO","5_61",5,"Unsprayed","Ambient",12,1,4,0,10,0,97
"5SOPIMRE","5_3",5,"Sprayed","Fertilized",5,0,1,0,1,0,105
"5SOPIMRO","5_20",5,"Unsprayed","Fertilized",35,7,0,0,0,0,27.1
"5SOPIPOE","5_64",5,"Sprayed","Ambient",4,0,55,0,0,5,114
"5SOPIPOO","5_56",5,"Unsprayed","Ambient",3,4,30,0,0,4,112
"5SOPIPRE","5_19",5,"Sprayed","Fertilized",7,2,6,0,0,0,108
"5SOPIPRO","5_21",5,"Unsprayed","Fertilized",15,10,20,0,0,0,85
"5TRFLMOE","5_5",5,"Sprayed","Ambient",20,0,0,0,0,0,130
"5TRFLMOO","5_4",5,"Unsprayed","Ambient",12,0,0,0,12,0,121
"5TRFLMRE","5_6",5,"Sprayed","Fertilized",3,0,0,0,0,0,108
"5TRFLMRO","5_42",5,"Unsprayed","Fertilized",1,0,0,0,0,0,113
"5TRFLPOE","5_10",5,"Sprayed","Ambient",65,8,20,0,0,0,34
"5TRFLPOO","5_58",5,"Unsprayed","Ambient",45,1,5,0,1,0,82
"5TRFLPRE","5_26",5,"Sprayed","Fertilized",15,2,5,0,0,0,102
"5TRFLPRO","5_48",5,"Unsprayed","Fertilized",1,0,6,0,0,0,76
