exp,ref,data.collection.year,site,growing.seasons,plant.year,rep.5,rep.10,n.s,water,treatment,Brca,Elgl,Hobr,Napu,Avsp,Brho,Homu,Vusp,total.n,total.i,total.seeded,bare,unseeded forbs,unseeded grasses,Total (data check),problem row,Comments
STG,444,2013,McLaughlin,1,2012,5,5,N,Winter 2013 1.45cm,tE,0,0,0,0,0,40,6,1,0,47,47,,,,,,
STG,445,2013,McLaughlin,1,2012,5,5,N,Winter 2013 1.45cm,NttE,5,0,0,0,5,30,0,0,5,35,40,,,,,,
STG,446,2013,McLaughlin,1,2012,5,10,S,No,N,15,10,0,0,0,20,0,0,25,20,45,,,,,,
STG,447,2013,McLaughlin,1,2012,5,10,S,No,NE,0,0,0,0,25,30,15,1,0,71,71,,,,,,
STG,448,2013,McLaughlin,1,2012,5,10,S,No,NtE,12,0,0,0,0,40,0,0,12,40,52,,,,,,
STG,449,2013,McLaughlin,1,2012,5,10,S,No,tE,0,0,0,0,2,40,12,0,0,54,54,,,,,,
STG,450,2013,McLaughlin,1,2012,5,10,S,No,NttE,10,4,0,0,8,8,0,0,14,16,30,,,,,,
STG,451,2014,Davis,3,2011,1,1,N,Fall 2011 1.25cm,N,0,20,0,2,0,0,0,0,22,0,22,,,,,,
STG,452,2014,Davis,3,2011,1,1,N,Fall 2011 1.25cm,NE,0,10,0,0,60,0,0,0,10,60,70,,,,,,
STG,453,2014,Davis,3,2011,1,1,N,Fall 2011 1.25cm,NtE,20,30,0,0,50,0,0,0,50,50,100,,,,,,
STG,454,2014,Davis,3,2011,1,1,N,Fall 2011 1.25cm,tE,0,0,0,0,100,0,0,0,0,100,100,,,,,,
STG,455,2014,Davis,3,2011,1,1,N,Fall 2011 1.25cm,NttE,30,40,0,0,20,0,0,0,70,20,90,,,,,,
STG,456,2014,Davis,3,2011,1,5,S,No,N,20,60,0,0,20,0,0,0,80,20,100,,,,,,
STG,457,2014,Davis,3,2011,1,5,S,No,NE,0,0,0,0,80,0,5,0,0,85,85,,,,,,
STG,458,2014,Davis,3,2011,1,5,S,No,NtE,5,10,0,0,80,0,0,0,15,80,95,,,,,,
STG,459,2014,Davis,3,2011,1,5,S,No,tE,0,0,0,0,80,0,0,0,0,80,80,,,,,,
STG,460,2014,Davis,3,2011,1,5,S,No,NttE,15,30,0,0,40,0,0,0,45,40,85,,,,,,
STG,461,2014,Davis,3,2011,2,2,N,Fall 2011 1.25cm,N,25,15,0,0,40,0,0,0,40,40,80,,,,,,
STG,462,2014,Davis,3,2011,2,2,N,Fall 2011 1.25cm,NE,0,10,0,0,60,0,0,0,10,60,70,,,,,,
STG,463,2014,Davis,3,2011,2,2,N,Fall 2011 1.25cm,NtE,25,30,0,0,30,0,0,0,55,30,85,,,,,,
STG,464,2014,Davis,3,2011,2,2,N,Fall 2011 1.25cm,tE,0,0,0,0,85,0,15,0,0,100,100,,,,,,
STG,465,2014,Davis,3,2011,2,2,N,Fall 2011 1.25cm,NttE,45,40,0,0,10,0,0,0,85,10,95,,,,,,
STG,466,2014,Davis,3,2011,2,7,S,No,N,25,70,0,0,5,0,0,0,95,5,100,,,,,,
STG,467,2014,Davis,3,2011,2,7,S,No,NE,5,10,0,0,30,0,0,0,15,30,45,,,,,,
STG,468,2014,Davis,3,2011,2,7,S,No,NtE,30,55,0,0,15,0,0,0,85,15,100,,,,,,
STG,469,2014,Davis,3,2011,2,7,S,No,tE,0,0,0,0,70,0,10,0,0,80,80,,,,,,
STG,470,2014,Davis,3,2011,2,7,S,No,NttE,35,60,0,0,5,0,0,0,95,5,100,,,,,,
STG,471,2014,Davis,3,2011,3,3,N,Fall 2011 1.25cm,N,60,0,0,0,40,0,0,0,60,40,100,,,,,,
STG,472,2014,Davis,3,2011,3,3,N,Fall 2011 1.25cm,NE,0,0,0,0,100,0,0,0,0,100,100,,,,,,
STG,473,2014,Davis,3,2011,3,3,N,Fall 2011 1.25cm,NtE,20,20,0,0,60,0,0,0,40,60,100,,,,,,
STG,474,2014,Davis,3,2011,3,3,N,Fall 2011 1.25cm,tE,0,0,0,0,60,40,0,0,0,100,100,,,,,,
STG,475,2014,Davis,3,2011,3,3,N,Fall 2011 1.25cm,NttE,20,60,0,0,20,0,0,0,80,20,100,,,,,,
STG,476,2014,Davis,3,2011,3,8,S,No,N,20,10,0,0,30,10,0,0,30,40,70,,,,,,
STG,477,2014,Davis,3,2011,3,8,S,No,NE,3,0,0,0,90,5,0,0,3,95,98,,,,,,
STG,478,2014,Davis,3,2011,3,8,S,No,NtE,15,10,0,0,70,10,0,0,25,80,105,,,,,,
STG,479,2014,Davis,3,2011,3,8,S,No,tE,0,0,0,0,90,10,0,0,0,100,100,,,,,,
STG,480,2014,Davis,3,2011,3,8,S,No,NttE,30,10,0,0,50,0,5,5,40,60,100,,,,,,
STG,481,2014,Davis,3,2011,4,4,N,Fall 2011 1.25cm,N,30,65,0,0,8,0,0,0,95,8,103,,,,,,
STG,482,2014,Davis,3,2011,4,4,N,Fall 2011 1.25cm,NE,0,0,0,0,25,10,0,0,0,35,35,,,,,,
STG,483,2014,Davis,3,2011,4,4,N,Fall 2011 1.25cm,NtE,10,80,0,0,2,0,0,0,90,2,92,,,,,,
STG,484,2014,Davis,3,2011,4,4,N,Fall 2011 1.25cm,tE,0,0,0,0,30,15,15,0,0,60,60,,,,,,
STG,485,2014,Davis,3,2011,4,4,N,Fall 2011 1.25cm,NttE,25,70,0,0,12,0,0,0,95,12,107,,,,,,
STG,486,2014,Davis,3,2011,4,9,S,No,N,20,30,0,0,20,15,0,10,50,45,95,,,,,,
STG,487,2014,Davis,3,2011,4,9,S,No,NE,3,5,0,0,10,0,0,0,8,10,18,,,,,,
STG,488,2014,Davis,3,2011,4,9,S,No,NtE,40,40,0,0,15,0,0,0,80,15,95,,,,,,
STG,489,2014,Davis,3,2011,4,9,S,No,tE,0,0,0,0,10,0,10,0,0,20,20,,,,,,
STG,490,2014,Davis,3,2011,4,9,S,No,NttE,10,80,0,0,5,5,0,0,90,10,100,,,,,,
STG,491,2014,Davis,3,2011,5,5,N,Fall 2011 1.25cm,N,15,60,0,0,0,0,0,0,75,0,75,,,,,,
STG,492,2014,Davis,3,2011,5,5,N,Fall 2011 1.25cm,NE,0,10,0,0,30,0,10,0,10,40,50,,,,,,
STG,493,2014,Davis,3,2011,5,5,N,Fall 2011 1.25cm,NtE,20,65,0,0,10,0,0,0,85,10,95,,,,,,
STG,494,2014,Davis,3,2011,5,5,N,Fall 2011 1.25cm,tE,0,0,0,0,25,5,40,0,0,70,70,,,,,,
STG,495,2014,Davis,3,2011,5,5,N,Fall 2011 1.25cm,NttE,40,30,0,0,20,0,0,0,70,20,90,,,,,,
