"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action","environment.initial","BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome","diversity.desirability"
1,0,0,1,1,0,1,0,0,0,0,0,0,0.335851588538067,0,0,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0,1.35479596427659
0,1,0,1,1,0,1,0,0,0,0,0,0,0,8.42807718475738e-94,0,0.293678802008277,0.468757436571411,0,0.343689391033626,0,0,0,0,0,1.07911121943512
1,1,0,1,1,0,1,0,0,0,0,0,0,0.335851588538067,4.53015854757669e-80,0,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0,1.35479596427659
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,9.58884461539812e-71,0.293678802008277,0.468757436571411,0,0.343689391033626,0,0,0,0,0,1.07911121943512
1,0,1,1,1,0,1,0,0,0,0,0,0,0.335851588538067,0,3.43563873014161e-61,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0,1.35479596427659
0,1,1,1,1,0,1,0,0,0,0,0,0,0,7.49765424229589e-94,1.21386126140546e-70,0.293678802008277,0.468757436571411,0,0.343689391033626,0,0,0,0,0,1.07911121943512
1,1,1,1,1,0,1,0,0,0,0,0,0,0.335851588538067,3.97069964909819e-80,4.3191284001784e-61,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0,1.35479596427659
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.185100435175948,0.385212346618897,0,0,0,0,0,0.630258635054926
1,0,0,0,0,1,1,0,0,0,0,0,0,0.316635212877443,0,0,0,0,0.0959080581123554,0.290365402929697,0,0,0,0,0,0.996218496394466
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.406871875366824,0,0,0,0.223954666324565,0.251726405374789,0,0,0,0,0,1.06278020644889
1,1,0,0,0,1,1,0,0,0,0,0,0,0.33362050657427,0.408427959036164,0,0,0,0.130126332068979,0.15128106010943,0,0,0,0,0,1.27680699898152
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.346922611314121,0,0,0.190747265090754,0.365812338333052,0,0,0,0,0,1.06197250315764
1,0,1,0,0,1,1,0,0,0,0,0,0,0.319080277746698,0,0.344938235859653,0,0,0.100833842795931,0.270343951045312,0,0,0,0,0,1.30643250519031
0,1,1,0,0,1,1,0,0,0,0,0,0,0,1.98529051066485e-14,0.346922611314111,0,0,0.190747265090756,0.365812338333045,0,0,0,0,0,1.06197250315833
1,1,1,0,0,1,1,0,0,0,0,0,0,0.31908027774671,2.30887714057271e-13,0.344938235859526,0,0,0.100833842795956,0.270343951045235,0,0,0,0,0,1.30643250519678
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.540422489940794,0,0.178421678657303,0.408157597982166,0,0,0,0,0,1.01206835735761
1,0,0,1,0,1,1,0,0,0,0,0,0,0.313934362757649,0,0,0.501835452974002,0,0.0904669729616067,0.312481356334604,0,0,0,0,0,1.25676088326329
0,1,0,1,0,1,1,0,0,0,0,0,0,0,1.26479468517343e-113,0,0.540422489940794,0,0.178421678657303,0.408157597982166,0,0,0,0,0,1.01206835735761
1,1,0,1,0,1,1,0,0,0,0,0,0,0.313934362757649,1.71665575013994e-97,0,0.501835452974002,0,0.0904669729616067,0.312481356334604,0,0,0,0,0,1.25676088326329
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2.69607132460473e-66,0.540422489940794,0,0.178421678657303,0.408157597982166,0,0,0,0,0,1.01206835735761
1,0,1,1,0,1,1,0,0,0,0,0,0,0.313934362757649,0,5.28169316382819e-53,0.501835452974002,0,0.0904669729616067,0.312481356334604,0,0,0,0,0,1.25676088326329
0,1,1,1,0,1,1,0,0,0,0,0,0,0,1.24477781886938e-113,3.22317253215642e-66,0.540422489940794,0,0.178421678657303,0.408157597982166,0,0,0,0,0,1.01206835735761
1,1,1,1,0,1,1,0,0,0,0,0,0,0.313934362757649,1.6896016226214e-97,6.38884328442995e-53,0.501835452974002,0,0.0904669729616067,0.312481356334604,0,0,0,0,0,1.25676088326329
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.712265629350721,1.73489563184967e-129,0.322606043145422,0,0,0,0,0,0.620482088770635
1,0,0,0,1,1,1,0,0,0,0,0,0,0.36428083538901,0,0,0,0.635807216015361,9.84265020016555e-147,0.237947705248011,0,0,0,0,0,1.01916992762669
0,1,0,0,1,1,1,0,0,0,0,0,0,0,6.5321453229201e-31,0,0,0.712265629350721,1.9056241604306e-130,0.322606043145421,0,0,0,0,0,0.620482088770635
1,1,0,0,1,1,1,0,0,0,0,0,0,0.364280835389008,2.42183294436455e-29,0,0,0.635807216015361,3.33880686270846e-148,0.237947705248012,0,0,0,0,0,1.01916992762669
0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,7.43991403197538e-29,0,0.712265629350721,2.38399072935261e-130,0.322606043145421,0,0,0,0,0,0.620482088770635
1,0,1,0,1,1,1,0,0,0,0,0,0,0.364280835389008,0,2.35705258639205e-27,0,0.635807216015362,4.03440139751734e-148,0.237947705248012,0,0,0,0,0,1.01916992762669
0,1,1,0,1,1,1,0,0,0,0,0,0,0,4.00443408282364e-31,8.83119048291301e-29,0,0.712265629350721,8.10604027929949e-130,0.322606043145421,0,0,0,0,0,0.620482088770635
1,1,1,0,1,1,1,0,0,0,0,0,0,0.364280835389008,1.55895891330631e-29,2.87642793674565e-27,0,0.635807216015362,1.58308084424174e-147,0.237947705248012,0,0,0,0,0,1.01916992762669
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.293678802008271,0.468757436571418,2.49185618727732e-64,0.343689391033624,0,0,0,0,0,1.07911121943511
1,0,0,1,1,1,1,0,0,0,0,0,0,0.335851588538067,0,0,0.236058144339674,0.446043033887334,9.20088179363331e-94,0.261501353083419,0,0,0,0,0,1.35479596427659
0,1,0,1,1,1,1,0,0,0,0,0,0,0,7.40171921758632e-94,0,0.293678802008271,0.468757436571418,3.42105633349933e-64,0.343689391033624,0,0,0,0,0,1.07911121943511
1,1,0,1,1,1,1,0,0,0,0,0,0,0.335851588538067,4.44955938908094e-80,0,0.236058144339674,0.446043033887334,1.42142355138656e-93,0.261501353083419,0,0,0,0,0,1.35479596427659
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,7.26649140604809e-71,0.293678802008277,0.468757436571411,4.25755356520387e-64,0.343689391033626,0,0,0,0,0,1.07911121943512
1,0,1,1,1,1,1,0,0,0,0,0,0,0.335851588538067,0,3.0015281351487e-61,0.236058144339674,0.446043033887334,1.82961139748166e-93,0.261501353083419,0,0,0,0,0,1.35479596427659
0,1,1,1,1,1,1,0,0,0,0,0,0,0,6.59386140990351e-94,8.63511988362246e-71,0.293678802008277,0.468757436571411,5.39305394419895e-64,0.343689391033626,0,0,0,0,0,1.07911121943512
1,1,1,1,1,1,1,0,0,0,0,0,0,0.335851588538067,3.97352723839401e-80,3.6269840743691e-61,0.236058144339674,0.446043033887334,2.58884885493319e-93,0.261501353083419,0,0,0,0,0,1.35479596427659
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.185161547666534,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0.269028295678878,0,0,0,0,0,0,3.12010774411973e-07,0,0,0,0,1.70106537903755e-05
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.599740071035871,0,0,0,0,0,0.185161547666534,0,0,0,0,0.546312555862807
1,1,0,0,0,0,0,1,0,0,0,0,0,0.269028295678878,0.572276012733558,0,0,0,0,0,3.12010778341956e-07,0,0,0,0,0.626705561401085
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.618601749885805,0,0,0,0,0.185161547666534,0,0,0,0,0.539720924479722
1,0,1,0,0,0,0,1,0,0,0,0,0,0.269028295678878,0,0.578778036442126,0,0,0,0,3.12010773669731e-07,0,0,0,0,0.62484057130317
0,1,1,0,0,0,0,1,0,0,0,0,0,0,2.93136249154642e-30,0.618601749885805,0,0,0,0,0.185161547666534,0,0,0,0,0.539720924479722
