"","Experimenta_plot","month","T_repens","T_pratense","P_trivialis","P_pratense","G_pratense","D_glomerata","A_elatius","A_sylvestris","A_pratensis","NEWSPS"
"290","B4B006","August",0,3.74,0,0,0,0,65.3,0,0,2.31
"291","B4B008","May",0,0,0,0,0,15.59,0,0,0,27
"292","B4B008","August",0,0,0,0,0,5.91,0,0,0,45.3
"293","B4B012","May",0,1.31,4.37,0,0.6,3.31,218.5,52.5,0.86,2.27
"294","B4B012","August",0,0,0,0,73.5,0,3.2,0.92,1.41,0.43
"295","B4B016","May",0,0,0,0,26,0,0,0,0,15.4
"296","B4B016","August",0,0,0,0,165,0,0,0,0,2.55
"297","B4B019","May",32.2,0,0,0,0,0,0,0,0,17.6
"298","B4B019","August",2.63,0,0,0,0,0,0,0,0,40.7
"299","B4B020","May",0,0,0,0,0,0,160.7,0,0,7.26
"300","B4B020","August",0,0,0,0,0,0,65,0,0,0.87
"301","B4B022","May",0,0,5.61,0,0,0,0,0,79.5,57.5
"302","B4B022","August",0,0,0,0,0,0,0,0,24.44,15.19
"303","B4B023","May",0,0,0,0,30.3,0,0,0,34.3,8.43
"304","B4B023","August",0,0,0,0,91.5,0,0,0,8.46,0
"305","B4B024","May",0,0,0,0,0,0,257.8,0,8.85,16.2
"306","B4B024","August",0,0,0,0,0,0,64,0,1.96,0
"307","B4B026","May",0,0,15,0,0,0,0,0,58.3,53.9
"308","B4B026","August",0,0,0,0,0,0,0,0,41,16.02
"309","B4B031","May",0,0,15.4,0,7.25,63.4,0,0,0,13.2
"310","B4B031","August",0,0,0,0,59.3,15.77,0,0,0,15
"311","B4B032","May",0,11.72,0,0,0,86.7,0,0,0,0
"312","B4B032","August",0,0,0,0,0,178.5,0,0,0,1.31
"313","B4B034","May",1.09,0,63.5,0,0,0,0,0,0,46
"314","B4B034","August",1.48,0,0.28,0,0,0,0,0,0,29.66
"315","B4B035","May",0,23,31.3,0,0,0,0,0,0,14
"316","B4B035","August",0,38,0,0,0,0,0,0,0,27.95
"317","B4B036","May",0,0,13.7,0,0,0,0,0,86.6,19.4
"318","B4B036","August",0,0,0,0,0,0,0,0,48,28.24
"319","B4B038","May",0,72,30.2,0,14.6,0,114.5,0,0,6.74
"320","B4B038","August",0,18.47,0,0,1.62,0,88.7,0,0,12.04
"321","B4B042","May",0,0,0,0,128.5,52,0,2.62,3.82,10
"322","B4B042","August",0,0,0,0,91,19.24,0,0.21,0,13.76
"323","B4B043","May",0,0,0,0,35.4,0,0,0,0,17
"324","B4B043","August",0,0,0,0,45.2,0,0,0,0,0.56
