"TREP.action","TPRA.action","PTRI.action","PPRA.action","GPRA.action","DGLO.action","AELA.action","ASYL.action","APRA.action","NEWSPS.action","month.initial","TREP.outcome","TPRA.outcome","PTRI.outcome","PPRA.outcome","GPRA.outcome","DGLO.outcome","AELA.outcome","ASYL.outcome","APRA.outcome","NEWSPS.outcome","diversity.desirability"
1,0,1,0,0,0,0,0,0,0,"May",4.2,0,74.7,0,0,0,0,0,0,3.72,0.382160642595564
1,0,1,0,0,0,0,0,0,0,"August",0,0,0,0,0,0,0,0,0,31.3,0
0,1,1,0,1,0,0,0,1,0,"May",0,0,0,0,0,0,0,0,309.4,0,0
0,1,1,0,1,0,0,0,1,0,"August",0,0,0,0,0,0,0,0,63.2,0.7,0.0603434713662655
1,0,0,0,0,0,0,1,0,0,"May",0,0,0,0,0,0,0,0,0,5.42,0
1,0,0,0,0,0,0,1,0,0,"August",0,0,0,0,0,0,0,0,0,22,0
0,0,0,1,0,0,1,0,0,0,"May",0,0,0,0,0,0,145,0,0,0.35,0.0169227150172086
0,0,0,1,0,0,1,0,0,0,"August",0,0,0,0,0,0,96,0,0,11.98,0.348489600254985
1,0,0,1,1,0,0,0,0,0,"May",0,0,0,0,58.2,0,0,0,0,21.2,0.580254631511413
1,0,0,1,1,0,0,0,0,0,"August",0,0,0,0,72.2,0,0,0,0,9.96,0.369362346693901
1,0,1,0,0,0,1,0,0,0,"May",0,0,6.33,0,0,0,253.7,0,0,28.1,0.422937827056094
1,0,1,0,0,0,1,0,0,0,"August",0,0,0,0,0,0,125.7,0,0,1.69,0.0705220724271145
1,0,0,0,0,0,1,0,0,0,"May",0,0,0,0,0,0,343.2,0,0,0.2,0.00492023447801744
1,0,0,0,0,0,1,0,0,0,"August",0,0,0,0,0,0,192.5,0,0,0.53,0.0189352193315938
0,0,1,0,0,0,0,0,1,0,"May",0,0,0,0,0,0,0,0,129.2,3.71,0.127413191072665
0,0,1,0,0,0,0,0,1,0,"August",0,0,0.17,0,0,0,0,0,46,2.59,0.230612817462484
1,1,0,0,0,1,1,0,0,0,"May",0,0,0,0,0,52.9,152.7,0,0,3.4,0.644068519906779
1,1,0,0,0,1,1,0,0,0,"August",0,0,0,0,0,17.42,134,0,0,7.44,0.529301324606464
0,0,1,0,1,1,0,0,0,0,"May",0,0,27.5,0,38.7,0.17,0,0,0,6.92,0.94190633913648
