"LP.action","LB.action","AP.action","AT.action","AO.action","environment.initial","LP.outcome","LB.outcome","AP.outcome","AT.outcome","AO.outcome","diversity.desirability"
1,1,0,0,0,0,447000,668000,0,0,0,0.673373637513282
1,1,0,0,0,0,447000,490000,0,0,0,0.692093812191939
1,1,0,0,0,0,286000,334000,0,0,0,0.690147301347692
1,1,0,0,0,0,0,189000,0,0,0,0
1,1,0,0,0,0,358000,557000,0,0,0,0.669306963886507
1,1,0,0,0,0,89428,278000,0,0,0,0.554955180942237
1,1,0,0,0,0,197000,668000,0,0,0,0.536538021979436
1,1,0,0,0,0,313000,668000,0,0,0,0.626160534426171
1,1,0,0,0,0,107000,668000,0,0,0,0.401434403276052
1,1,0,0,0,0,35771,490000,0,0,0,0.248527032287995
1,1,0,0,0,0,358000,668000,0,0,0,0.646780424313629
1,1,0,0,0,0,134000,668000,0,0,0,0.451229514205789
1,1,0,0,0,0,537000,66796,0,0,0,0.347823743501966
1,1,0,0,0,0,313000,11133,0,0,0,0.149542310603766
1,1,0,0,0,0,107000,89061,0,0,0,0.688955466833785
1,1,0,0,0,0,537000,0,0,0,0,0
1,1,0,0,0,0,537000,22265,0,0,0,0.16734360505157
1,1,0,0,0,0,0,0,0,0,0,NA
1,1,0,0,0,0,206000,11133,0,0,0,0.202245780922133
1,1,0,0,0,0,80485,22265,0,0,0,0.522687848385538
1,1,0,0,0,0,197000,122000,0,0,0,0.665248463227349
1,1,0,0,0,0,179000,1e+05,0,0,0,0.652505409619558
1,1,0,0,0,0,62600,44530,0,0,0,0.678853559810875
1,1,0,0,0,0,17886,33398,0,0,0,0.646677989163299
1,1,0,0,0,0,268000,0,0,0,0,0
1,1,0,0,0,0,537000,223000,0,0,0,0.605186483560815
1,1,0,0,0,0,537000,66796,0,0,0,0.347823743501966
1,1,0,0,0,0,8942.8,0,0,0,0,0
1,1,0,0,0,0,89428,0,0,0,0,0
1,1,0,0,0,0,447000,55663,0,0,0,0.348051817195487
1,1,0,0,0,0,268000,55663,0,0,0,0.459009172769412
1,1,0,0,0,0,537000,167000,0,0,0,0.547849459247732
1,1,0,0,0,0,179000,0,0,0,0,0
1,1,0,0,0,0,224000,55663,0,0,0,0.499063103979699
1,1,0,0,0,0,206000,0,0,0,0,0
1,1,0,0,0,0,71543,0,0,0,0,0
1,0,1,0,0,0,358000,0,262000,0,0,0.681111302044205
1,0,1,0,0,0,358000,0,245000,0,0,0.675484243634468
1,0,1,0,0,0,313000,0,654000,0,0,0.629613380156422
1,0,1,0,0,0,179000,0,376000,0,0,0.628756263007524
1,0,1,0,0,0,179000,0,196000,0,0,0.69211927275794
1,0,1,0,0,0,179000,0,458000,0,0,0.593899725321313
1,0,1,0,0,0,134000,0,736000,0,0,0.429624360409693
1,0,1,0,0,0,134000,0,164000,0,0,0.688071247053758
1,0,1,0,0,0,206000,0,213000,0,0,0.693007621433447
1,0,1,0,0,0,134000,0,458000,0,0,0.534829912725697
1,0,1,0,0,0,161000,0,16354,0,0,0.307623775895822
1,0,1,0,0,0,313000,0,294000,0,0,0.692657209121046
1,0,1,0,0,0,537000,0,818000,0,0,0.671487088965235
1,0,1,0,0,0,152000,0,213000,0,0,0.679116338610597
1,0,1,0,0,0,35771,0,32708,0,0,0.692146503175029
1,0,1,0,0,0,331000,0,16354,0,0,0.189830991871915
1,0,1,0,0,0,179000,0,229000,0,0,0.685619139944809
1,0,1,0,0,0,358000,0,981000,0,0,0.580619053708296
1,0,1,0,0,0,98371,0,32708,0,0,0.561817007356877
1,0,1,0,0,0,241000,0,65417,0,0,0.518544246650467
1,0,1,0,0,0,537000,0,98125,0,0,0.430431174088153
1,0,1,0,0,0,241000,0,16354,0,0,0.236616901047005
1,0,1,0,0,0,340000,0,0,0,0,0
1,0,1,0,0,0,447000,0,981000,0,0,0.621499838539665
1,0,1,0,0,0,53657,0,0,0,0,0
1,0,1,0,0,0,358000,0,32708,0,0,0.287749491305887
1,0,1,0,0,0,537000,0,981000,0,0,0.649740157175021
1,0,1,0,0,0,152000,0,98125,0,0,0.669767478766171
1,0,1,0,0,0,134000,0,0,0,0,0
1,0,1,0,0,0,313000,0,409000,0,0,0.684281236592862
1,0,1,0,0,0,537000,0,32708,0,0,0.219785983140246
1,0,1,0,0,0,537000,0,818000,0,0,0.671487088965235
1,0,1,0,0,0,134000,0,32708,0,0,0.495088236261804
1,0,1,0,0,0,537000,0,654000,0,0,0.688314157428962
1,0,1,0,0,0,447000,0,65417,0,0,0.381921053698111
1,0,1,0,0,0,197000,0,49063,0,0,0.499558436100796
1,0,1,0,0,0,268000,0,294000,0,0,0.692076649939097
1,0,1,0,0,0,537000,0,1470000,0,0,0.580820381672646
1,0,1,0,0,0,537000,0,1310000,0,0,0.60281449239904
1,0,1,0,0,0,8942.8,0,32708,0,0,0.520129224877583
