"ACRU.action","ACSA.action","BEAL.action","FAGR.action","TSCA.action","FRAM.action","PIST.action","PRSE.action","QURU.action","environment.initial","ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome","diversity.desirability"
0,0,1,0,1,1,1,1,0,0,0,0,29,0,215,0,2,50,0,0.793987157872768
0,0,1,0,1,1,1,1,0,0,0,0,43,0,156,0,33,8,0,0.97426632347706
0,0,1,0,1,1,1,1,0,0,0,0,44,0,154,0,6,22,0,0.903063603460987
0,0,1,0,1,1,1,1,1,0,0,0,78,0,183,0,5,16,8,0.972627833659093
0,0,1,0,1,1,1,1,1,0,0,0,5,0,118,0,19,29,4,0.992619846109979
0,0,1,0,1,1,1,1,1,0,0,0,69,0,122,0,0,8,1,0.823920123507502
0,0,1,1,0,0,0,0,0,0,0,0,15,173,0,0,0,0,0,0.278249415677561
0,0,1,1,0,0,0,0,0,0,0,0,2,209,0,0,0,0,0,0.0535920054108277
0,0,1,1,0,0,0,0,0,0,0,0,63,210,0,0,0,0,0,0.540204142388861
0,0,1,1,0,0,0,0,1,0,0,0,6,226,0,0,0,0,7,0.248794774967945
0,0,1,1,0,0,0,0,1,0,0,0,23,287,0,0,0,0,0,0.264353707513445
0,0,1,1,0,0,0,0,1,0,0,0,47,122,0,0,0,0,0,0.59115608333828
