"Tetra.action","Colp.action","Dexio.action","Loxo.action","Para.action","Spiro.action","temperature.initial","Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome","diversity.desirability"
0,0,1,0,1,0,15,0,0,0.0118753700560043,0,0.0203638861388944,0,0.658072349308436
0,0,1,0,1,0,17,0,0,0.0122744482894068,0,0.0371660684775344,0,0.560423217457023
0,0,1,0,1,0,17,0,0,0.00962954546807663,0,0.0400431659793731,0,0.491771662549643
0,0,1,0,1,0,19,0,0,0.000410072925137987,0,0.00818347680870203,0,0.191742470767538
0,0,1,0,1,0,19,0,0,0.00323408683110228,0,0.0460036913040004,0,0.242326362680957
0,0,1,0,1,0,21,0,0,0.0035737866395119,0,0.00864952998193145,0,0.604264142341092
0,0,1,0,1,0,21,0,0,0.000803446415495957,0,0.018332787855455,0,0.174203972311587
0,0,1,0,1,0,23,0,0,0.00121556305960456,0,0.0382576055703729,0,0.137493748208687
0,0,1,0,1,0,23,0,0,0.00171064670087228,0,0.0225664621156179,0,0.254835874153057
0,0,1,0,1,0,25,0,0,0.00289702653937808,0,0.00875041853948256,0,0.560931569955235
0,0,1,0,1,0,25,0,0,0.000367560307746386,0,0.019121114626016,0,0.0935694402942822
0,0,1,0,0,1,15,0,0,0.00579099336915077,0,0,0.0093784818241816,0.664915809229043
0,0,1,0,0,1,15,0,0,0.00503401232404316,0,0,0.000787600859297131,0.39631880921784
0,0,1,0,0,1,17,0,0,0.00263470399336625,0,0,0.0108138994049032,0.494678684743363
0,0,1,0,0,1,17,0,0,0.000385615073403032,0,0,0.0423130696350833,0.0515002044276571
0,0,1,0,0,1,19,0,0,0,0,0,0,NA
0,0,1,0,0,1,19,0,0,0.00153568731335534,0,0,0.0384186763933362,0.162941527539787
0,0,1,0,0,1,21,0,0,0.000243899586682576,0,0,0.0324769742602407,0.0439430589064876
0,0,1,0,0,1,21,0,0,0.000909185270659582,0,0,0.0512476333449836,0.0878681861417949
0,0,1,0,0,1,23,0,0,0.000376072264459317,0,0,0.152245903627091,0.0172601308977408
0,0,1,0,0,1,23,0,0,0.00111705207833361,0,0,0.10751175679947,0.0572988720726129
0,0,1,0,0,1,25,0,0,0.000918643443185764,0,0,0.053249175791101,0.0859563376484497
0,0,1,0,0,1,25,0,0,0.00229986453553742,0,0,0.058523562599993,0.160927595361396
0,0,0,1,0,0,15,0,0,0,0.117175255842743,0,0,0
0,0,0,1,0,0,15,0,0,0,0.10387794287887,0,0,0
0,0,0,1,0,0,15,0,0,0,0.233722194191158,0,0,0
0,0,0,1,0,0,17,0,0,0,0.0525838135255231,0,0,0
0,0,0,1,0,0,17,0,0,0,0.113820778853448,0,0,0
0,0,0,1,0,0,17,0,0,0,0.0878384854449204,0,0,0
0,0,0,1,0,0,19,0,0,0,0,0,0,NA
0,0,0,1,0,0,19,0,0,0,0.0776048355832288,0,0,0
0,0,0,1,0,0,19,0,0,0,0.0327935507123055,0,0,0
0,0,0,1,0,0,21,0,0,0,0.197680787411288,0,0,0
0,0,0,1,0,0,21,0,0,0,0.157406693371792,0,0,0
0,0,0,1,0,0,21,0,0,0,0.00759167744120626,0,0,0
0,0,0,1,0,0,23,0,0,0,0.0200908209807342,0,0,0
0,0,0,1,0,0,23,0,0,0,0.0132543449650664,0,0,0
0,0,0,1,0,0,23,0,0,0,0.00532068630329041,0,0,0
0,0,0,1,0,0,25,0,0,0,0.156660437900645,0,0,0
0,0,0,1,0,0,25,0,0,0,0.114971487500058,0,0,0
0,0,0,1,0,0,25,0,0,0,0.118233739065651,0,0,0
0,0,0,1,1,0,15,0,0,0,0.0306363101218107,0.108125133729629,0,0.527898486268581
0,0,0,1,1,0,15,0,0,0,0.0245185676109286,0.085071171444275,0,0.531589148877267
0,0,0,1,1,0,17,0,0,0,0.000718132472321432,0.00204855968777172,0,0.572599921631708
0,0,0,1,1,0,17,0,0,0,0.0143576433826581,0.0924832600548237,0,0.394635215442162
0,0,0,1,1,0,19,0,0,0,0.00647682989848427,0.0343553536846499,0,0.437375605788203
0,0,0,1,1,0,19,0,0,0,9.08867281198305e-06,0.0369033358894151,0,0.00229212339367382
0,0,0,1,1,0,21,0,0,0,0.00255733549530482,0.023956947690955,0,0.317214836881064
0,0,0,1,1,0,21,0,0,0,0.00264600334667174,0.0307399138860369,0,0.276946223854443
0,0,0,1,1,0,23,0,0,0,7.71084846231188e-05,0.0107552387747761,0,0.0422937803532852
0,0,0,1,1,0,23,0,0,0,0,0.0182096377438558,0,0
0,0,0,1,1,0,25,0,0,0,0,0.00504122025731863,0,0
0,0,0,1,1,0,25,0,0,0,0.00101536006560882,0.00138330666700837,0,0.68133538824504
0,0,0,1,0,1,15,0,0,0,0.0304608782648116,0,0.141752957592863,0.466626633516927
0,0,0,1,0,1,15,0,0,0,0.0431444948336489,0,0.0537558555759049,0.687139140873035
0,0,0,1,0,1,17,0,0,0,0.0435296985185862,0,0.0709042267036211,0.664255485261235
0,0,0,1,0,1,17,0,0,0,0.0257890248295406,0,0.111911824051975,0.482259180780346
0,0,0,1,0,1,19,0,0,0,0.0375812255242373,0,0.10197620996363,0.582549974653976
